einzelplan;einzelplan-text;einahmen-ausgaben;einahmen-ausgaben-text;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll ;titelgruppe;tgr-text
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"71101";"011";"Kleine Neu-, Um- und Erweiterungsbauten";"ja";"17";666;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"71201";"011";"Baumaßnahmen von mehr als 6 000 000 € im Einzelfall";"ja";"17";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"81101";"011";"Erwerb von Fahrzeugen";"ja";"17";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"81201";"011";"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)";"ja";"17";400;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0112";"Bundespräsidialamt";"81202";"011";"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik";"ja";"17";680;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"11999";"011";"Vermischte Einnahmen";;"19";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"13201";"011";"Erlöse aus der Veräußerung von beweglichen Sachen";;"19";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"28209";"011";"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen";;"19";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"38103";"890";"Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7";;"19";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"51802";"011";"Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement";"nein";"19";437;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"52901";"011";"Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen";"nein";"19";6;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"54709";"011";"Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden";"nein";"20";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Besondere Finanzierungsausgaben";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"98101";"890";"Leistungen an Bundesbehörden zur Durchführung von Aufträgen";"nein";"20";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Besondere Finanzierungsausgaben";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"98103";"890";"Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7";"nein";"20";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"42201";"011";"Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten";"ja";"20";655;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"42709";"011";"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige";"ja";"20";30;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"42801";"011";"Entgelte der Arbeitnehmerinnen und Arbeitnehmer";"ja";"20";1317;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"44101";"840";"Beihilfen aufgrund der Beihilfevorschriften";"ja";"20";45;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"44301";"840";"Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften";"ja";"20";6;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"45202";"223";"Unfallversicherung Bund und Bahn";"ja";"21";2;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"45301";"011";"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen";"ja";"21";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"51101";"011";"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung";"ja";"21";104;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"51801";"011";"Mieten und Pachten";"ja";"21";55;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"53201";"011";"Aufträge und Dienstleistungen im Bereich Informationstechnik";"ja";"21";80;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"53999";"011";"Vermischte Verwaltungsausgaben";"ja";"21";196;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"63403";"011";"Zuweisungen an den Versorgungsfonds";"ja";"21";161;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"71101";"011";"Kleine Neu-, Um- und Erweiterungsbauten";"ja";"21";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"81101";"011";"Erwerb von Fahrzeugen";"ja";"21";10;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"81201";"011";"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)";"ja";"21";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0113";"Büro der Gemeinsamen Wissenschaftskonferenz";"81202";"011";"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik";"ja";"21";80;
"02";"Deutscher Bundestag";"E";"Übrige Einnahmen";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"28209";"011";"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen";;"6";0;
"02";"Deutscher Bundestag";"E";"Übrige Einnahmen";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"38101";"890";"Leistungen von Bundesbehörden zur Durchführung von Aufträgen";;"6";0;
"02";"Deutscher Bundestag";"E";"Übrige Einnahmen";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"38103";"890";"Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7";;"6";0;
"02";"Deutscher Bundestag";"E";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"11957";"018";"Vermischte Einnahmen";;"6";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"E";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"23257";"018";"Beteiligung an den Versorgungslasten des Bundes";;"6";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"Sächliche Verwaltungsausgaben";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52901";"011";"Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen";"nein";"6";350;
"02";"Deutscher Bundestag";"A";"Sächliche Verwaltungsausgaben";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"54201";"013";"Öffentlichkeitsarbeit";"nein";"7";2664;
"02";"Deutscher Bundestag";"A";"Sächliche Verwaltungsausgaben";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"54709";"011";"Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden";"nein";"7";0;
"02";"Deutscher Bundestag";"A";"Besondere Finanzierungsausgaben";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"98103";"890";"Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7";"nein";"7";0;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"43157";"018";"Versorgungsbezüge sonstiger Amtsträger und deren Hinterbliebenen";"nein";"8";400;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"43257";"018";"Versorgungsbezüge";"nein";"8";34000;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"43457";"018";"Zuführung an die Versorgungsrücklage";"nein";"8";1620;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44357";"018";"Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften";"nein";"8";10;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44657";"018";"Beihilfen aufgrund der Beihilfevorschriften";"nein";"8";7500;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"63257";"018";"Erstattungen des Bundes für Versorgungslasten";"nein";"8";620;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"42401";"011";"Zuführung an die Versorgungsrücklage";"ja";"8";2471;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44101";"840";"Beihilfen aufgrund der Beihilfevorschriften";"ja";"9";4500;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44301";"840";"Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften";"ja";"9";200;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44302";"840";"Heilfürsorge";"ja";"9";150;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"45202";"223";"Unfallversicherung Bund und Bahn";"ja";"9";450;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52601";"011";"Gerichts- und ähnliche Kosten";"ja";"9";435;
"02";"Deutscher Bundestag";"A";"";"0211";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52602";"011";"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen";"ja";"9";2849;
