kapitel,kapitel-text,jahr
1013,"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",2020
1014,"Friedrich Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",2020
1015,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",2020
1016,"Johann Heinrich von Thünen-Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei",2020
1017,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),2020
1018,Bundessortenamt,2020
1101,Leistungen nach dem Zweiten und Dritten Buch Sozialgesetzbuch und gleichartige Leistungen,2020
1102,Rentenversicherung und Grundsicherung im Alter und bei Erwerbsminderung,2020
1103,Soziale Entschädigung (Kriegsopferversorgung und -fürsorge sowie gleichartige Leistungen),2020
1104,Unfallversicherung Bund und Bahn / Künstlersozialkasse,2020
1105,Förderung der Inklusion von Menschen mit Behinderungen,2020
1106,"Maßnahmen des Bundes mit Beteiligung Europäischer Fonds (ESF, EGF, EHAP) sowie sonstige internationale Angelegenheiten",2020
1107,"Arbeitswelt im Wandel, Fachkräftesicherung",2020
1110,Sonstige Bewilligungen,2020
1111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1112,Bundesministerium,2020
1113,Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,2020
1114,Bundesarbeitsgericht,2020
1115,Bundessozialgericht,2020
1116,Bundesversicherungsamt,2020
1201,Bundesfernstraßen,2020
1202,Bundesschienenwege,2020
1203,Bundeswasserstraßen,2020
1204,Digitale Infrastruktur,2020
1205,Luft- und Raumfahrt,2020
1206,Verbesserung der Verkehrsverhältnisse der Gemeinden,2020
1210,Sonstige Bewilligungen,2020
1211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1212,Bundesministerium,2020
1213,Bundesamt für Güterverkehr,2020
1214,Bundesanstalt für Straßenwesen,2020
1215,Kraftfahrt-Bundesamt,2020
1216,Bundeseisenbahnvermögen,2020
1217,Eisenbahn-Bundesamt,2020
1218,Wasserstraßen- und Schifffahrtsverwaltung des Bundes,2020
1219,Bundesamt für Seeschifffahrt und Hydrographie,2020
1220,Deutscher Wetterdienst,2020
1221,Luftfahrt-Bundesamt,2020
1222,Bundesaufsichtsamt für Flugsicherung,2020
1223,Bundesanstalt für Verwaltungsdienstleistungen,2020
1228,Fernstraßen-Bundesamt,2020
1401,Verpflichtungen im Rahmen der Mitgliedschaft zur NATO und zu anderen internationalen Institutionen sowie Maßnahmen im Zusammenhang mit internationalen Einsätzen,2020
1403,"Kommandobehörden und Truppen, Sozialversicherungsbeiträge, Fürsorgemaßnahmen und Versorgung für Soldatinnen und Soldaten",2020
1404,"Wehrforschung, Entwicklung und Erprobung",2020
1405,Militärische Beschaffungen,2020
1406,Materialerhaltung der Bundeswehr,2020
1407,Sonstiger Betrieb der Bundeswehr,2020
1408,Unterbringung,2020
1410,Sonstige Bewilligungen,2020
1411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1412,Bundesministerium,2020
1413,"Bundeswehrverwaltung, Universitäten der Bundeswehr, Militärseelsorge usw.",2020
1501,Gesetzliche Krankenversicherung,2020
1502,Pflegevorsorge und sonstige soziale Sicherung,2020
1503,Prävention und Gesundheitsverbände,2020
1504,Forschungsvorhaben und -einrichtungen,2020
1505,Internationales Gesundheitswesen,2020
1511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1512,Bundesministerium,2020
1513,Bundeszentrale für gesundheitliche Aufklärung,2020
1514,Deutsches Institut für Medizinische Dokumentation und Information,2020
1515,Paul-Ehrlich-Institut,2020
1516,Bundesinstitut für Arzneimittel und Medizinprodukte,2020
1517,Robert Koch-Institut,2020
1601,Umweltschutz,2020
1602,Klimaschutz,2020
1603,Zwischenlagerung und Endlagerung radioaktiver Abfälle,2020
1604,Naturschutz,2020
1605,Nukleare Sicherheit und Strahlenschutz,2020
1611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1612,Bundesministerium,2020
1613,Umweltbundesamt,2020
1614,Bundesamt für Naturschutz,2020
1615,Bundesamt für kerntechnische Entsorgungssicherheit,2020
1616,Bundesamt für Strahlenschutz,2020
1701,Gesetzliche Leistungen für die Familien,2020
1702,Kinder- und Jugendpolitik,2020
1703,"Stärkung der Zivilgesellschaft, Familien-﻿, Gleichstellungs- und Seniorenpolitik",2020
1710,Sonstige Bewilligungen,2020
1711,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1712,Bundesministerium,2020
1713,Bundesamt für Familie und zivilgesellschaftliche Aufgaben,2020
1714,Bundesprüfstelle für jugendgefährdende Medien,2020
1715,Antidiskriminierungsstelle des Bundes,2020
1716,Der Unabhängige Beauftragte für Fragen des sexuellen Kindesmissbrauchs,2020
1911,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
1912,Bundesverfassungsgericht,2020
2011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
2012,Bundesrechnungshof,2020
2111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
2112,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,2020
2301,Bilaterale staatliche Entwicklungszusammenarbeit,2020
2302,"Zivilgesellschaftliches, kommunales und wirtschaftliches Engagement",2020
2303,"Europäische Entwicklungszusammenarbeit, Beiträge an die Vereinten Nationen sowie andere internationale Einrichtungen",2020
2304,Beiträge an multilaterale Entwicklungsbanken,2020
2305,"Forschung, Evaluierung und Qualifizierung in der Entwicklungszusammenarbeit",2020
2310,Sonstige Bewilligungen,2020
2311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
2312,Bundesministerium,2020
3002,"Leistungsfähigkeit des Bildungswesens, Nachwuchsförderung",2020
3003,Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems,2020
3004,"Forschung für Innovationen, Hightech-Strategie",2020
3011,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2020
3012,Bundesministerium,2020
